               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  36,            0.037057,             0.12136,           0.0013821,             0.84974,             0.89758,             0.89877,             0.55001,            0.030392,             0.07023,          0.00075758,            0.006535,            0.006535,            0.006535
                  37,            0.036014,             0.11596,           0.0013941,             0.84998,             0.88555,             0.90494,             0.57303,             0.02763,            0.070378,          0.00067818,            0.006436,            0.006436,            0.006436
                  38,            0.035352,              0.1177,           0.0012317,             0.84945,             0.90431,             0.91065,             0.55628,            0.029366,            0.069103,          0.00065666,            0.006337,            0.006337,            0.006337
                  39,            0.037425,             0.11869,           0.0012974,             0.80722,             0.91766,             0.90498,              0.5652,            0.029182,            0.072992,           0.0007119,            0.006238,            0.006238,            0.006238
                  40,            0.035632,             0.11742,           0.0013773,              0.7896,             0.89847,             0.89727,             0.54152,            0.027845,            0.075124,           0.0007096,            0.006139,            0.006139,            0.006139
                  41,            0.035853,             0.11722,           0.0012669,              0.8609,             0.89775,             0.91149,             0.59035,            0.027377,             0.06968,          0.00065729,             0.00604,             0.00604,             0.00604
                  42,            0.034962,             0.11871,           0.0011807,             0.82105,             0.86971,              0.8808,             0.53745,            0.028325,            0.073465,          0.00069051,            0.005941,            0.005941,            0.005941
                  43,            0.035504,             0.11828,           0.0012907,             0.84429,             0.92028,              0.9126,             0.56629,            0.027307,            0.068821,          0.00059468,            0.005842,            0.005842,            0.005842
                  44,            0.034629,             0.11637,           0.0012451,             0.82659,             0.91497,             0.91537,             0.59473,            0.027142,            0.067591,          0.00061462,            0.005743,            0.005743,            0.005743
                  45,            0.034732,             0.11375,           0.0012013,             0.85225,             0.91379,             0.91433,             0.58661,             0.02741,            0.068514,          0.00056039,            0.005644,            0.005644,            0.005644
                  46,            0.035342,             0.12054,           0.0011923,             0.84114,             0.91911,             0.91639,             0.56509,            0.027624,             0.06984,          0.00059606,            0.005545,            0.005545,            0.005545
                  47,            0.034904,             0.11893,           0.0011228,              0.8496,             0.89541,             0.91421,             0.57995,             0.02695,            0.068595,          0.00060949,            0.005446,            0.005446,            0.005446
                  48,            0.034862,             0.11833,            0.001148,             0.83437,             0.92061,             0.91287,             0.58067,            0.026747,            0.068215,          0.00056747,            0.005347,            0.005347,            0.005347
                  49,            0.034093,             0.11414,           0.0011945,             0.83132,             0.90449,             0.90678,             0.58491,            0.027811,            0.069686,          0.00068894,            0.005248,            0.005248,            0.005248
                  50,            0.033981,             0.11875,           0.0011102,             0.86658,             0.90775,             0.91314,             0.59329,            0.026566,            0.069843,          0.00052803,            0.005149,            0.005149,            0.005149
                  51,             0.03388,             0.11484,           0.0010746,             0.87108,             0.89798,             0.91836,             0.59348,            0.025813,            0.067579,          0.00056923,             0.00505,             0.00505,             0.00505
                  52,            0.034483,             0.11437,           0.0010749,             0.85005,              0.9153,             0.91343,             0.57636,            0.027705,            0.067982,          0.00051606,            0.004951,            0.004951,            0.004951
                  53,            0.034098,             0.11534,           0.0010999,             0.85738,             0.90123,             0.90629,             0.56993,            0.026853,            0.068808,          0.00056977,            0.004852,            0.004852,            0.004852
                  54,            0.034471,             0.11448,           0.0011296,             0.85532,             0.89554,             0.90738,             0.58104,            0.027782,            0.068237,          0.00060501,            0.004753,            0.004753,            0.004753
                  55,            0.033854,             0.11839,           0.0010281,             0.85195,             0.89205,             0.91805,             0.59003,            0.026213,            0.069134,          0.00051364,            0.004654,            0.004654,            0.004654
